isin,as_of,mix
INE033L07IH5,30/06/2026,"Insurance 40%, MF 29%, PF/Pension 26%, Trusts 4.2%, Banks 0.4%, Corporates 0.4%"
INE033L07IJ1,30/06/2026,"Insurance 41%, MF 28%, PF/Pension 28%, Trusts 2.5%"
INE033L07IK9,30/06/2026,"MF 39%, Insurance 39%, PF/Pension 12%, Corporates 5.1%, Other FIs 2.1%, Trusts 2.1%"
INE033L07IL7,30/06/2026,"Banks 70%, MF 17%, Insurance 13%"
INE033L07IM5,30/06/2026,"Insurance 55%, PF/Pension 28%, MF 8.3%, Trusts 6.1%, Banks 3.3%"
INE033L07IN3,30/06/2026,"MF 66%, Insurance 28%, Banks 3.1%, FPI 3.1%"
INE033L07IO1,30/06/2026,"MF 65%, Insurance 20%, Corporates 10%, Banks 5%"
INE033L07IP8,30/06/2026,"Insurance 34%, MF 29%, PF/Pension 25%, Corporates 8.8%, Trusts 1.8%, Individuals 1.1%"
INE033L07IR4,30/06/2026,MF 100%
INE033L07IT0,30/06/2026,"MF 42%, Corporates 27%, PF/Pension 18%, Insurance 13%"
INE033L07IU8,30/06/2026,"Insurance 38%, Banks 30%, MF 26%, PF/Pension 4.8%, Corporates 1.2%"
INE033L08312,30/06/2026,"Insurance 60%, Trusts 27%, PF/Pension 5.9%, Corporates 2.6%, Banks 2.4%, MF 1.2%, others 0.2%"
INE039A09LL7,30/06/2026,"Trusts 77%, Banks 13%, Individuals 7.9%, Corporates 1.6%, Govt 0.4%"
INE039A09LV6,30/06/2026,"Banks 51%, Corporates 42%, Trusts 4%, Individuals 2.9%"
INE03G407037,30/06/2026,"Corporates 53%, AIF 29%, Individuals 16%, NBFC 2.1%"
INE03K307066,30/06/2026,Corporates 100%
INE03K307074,30/06/2026,"Corporates 68%, Individuals 32%, Clearing members 0.1%, NRIs 0.1%"
INE03K307116,30/06/2026,"Individuals 67%, Corporates 32%, NRIs 0.6%, Clearing members 0.4%"
INE03K307124,30/06/2026,"Individuals 48%, Corporates 29%, AIF 22%, NRIs 0.6%"
INE03K307132,30/06/2026,"Individuals 77%, Corporates 23%, NBFC 0.4%, NRIs 0.3%"
INE03K307140,30/06/2026,"Corporates 54%, Individuals 46%, NBFC 0.3%"
INE03K307157,30/06/2026,"Individuals 63%, Corporates 37%, Clearing members 0.1%"
INE03K307165,30/06/2026,"Corporates 80%, Individuals 11%, NBFC 9.1%"
INE03ST08010,30/06/2026,MF 100%
INE03W107249,30/06/2026,"Corporates 62%, MF 24%, Individuals 14%, Trusts 0.4%"
INE03W107280,30/06/2026,MF 100%
INE040A08369,30/06/2026,"Govt 30%, PF/Pension 22%, Insurance 19%, Trusts 12%, MF 11%, Corporates 3.1%, others 1.7%"
INE040A08393,30/06/2026,"Govt 58%, Insurance 28%, PF/Pension 5.3%, MF 3.2%, Corporates 2.8%, Trusts 1.3%, others 1.4%"
INE040A08401,30/06/2026,"Insurance 54%, PF/Pension 20%, MF 12%, Corporates 11%, Banks 3%"
INE040A08419,30/06/2026,"Insurance 36%, Trusts 24%, Corporates 19%, MF 7.6%, PF/Pension 6.7%, Banks 2.9%, others 3.5%"
INE040A08427,30/06/2026,"Insurance 49%, Govt 36%, PF/Pension 5.1%, Trusts 3.5%, MF 3.2%, Corporates 2.6%, others 0.2%"
INE040A08435,30/06/2026,"Govt 77%, Insurance 8.7%, Corporates 5.3%, MF 4.1%, Trusts 3%, PF/Pension 2.2%, others 0.1%"
INE040A08484,30/06/2026,"Insurance 27%, Corporates 27%, Trusts 23%, PF/Pension 15%, MF 5.5%, Banks 2.5%, others 1%"
INE040A08567,30/06/2026,"Insurance 30%, Trusts 24%, MF 13%, Banks 13%, PF/Pension 13%, Corporates 7.2%, others 0.4%"
INE040A08666,30/06/2026,"Insurance 33%, Govt 16%, PF/Pension 16%, Trusts 14%, Corporates 8.7%, MF 8.1%, others 3.3%"
INE040A08674,30/06/2026,"Insurance 71%, PF/Pension 17%, Trusts 6.5%, MF 3.2%, Corporates 2.2%, Individuals 0.1%"
